text,compound,negative,neutral,positive,sentiment
"""it was the feeling that the company was really international. Also, the people that were interviewing me were from different cultural backgrounds. But also, I could see also that the company and the other employees are not from Austria, so there's a lot of intercultural environment.",0.0644,0.0,0.972,0.028,positive
"Something that was really, really good to see and that was making me feel easier to the whole process and more comfortable.""",0.7408,0.0,0.761,0.239,positive
"""each person that communicated with me actually was there for a particular reason and he was there to communicate his or her point of view. So, what was necessary for him to get as information.",0.0,0.0,1.0,0.0,neutral
"So, I believe that actually helped me to understand that they know for what they are employing""",0.0,0.0,1.0,0.0,neutral
Everything was a good communication. Everything was in a friendly environment.,0.7269,0.0,0.534,0.466,positive
"First of all, to be clear with them, what is expected from them, why it is expected from them. So when this is good communicating and clear communicated to get the feedback in terms of are you okay with this, are you happy with this.",0.9136,0.0,0.745,0.255,positive
"they have called me, they emailed me and everything was also in verbal and also in writing. So, they were very effective from this part.",0.5256,0.0,0.876,0.124,positive
"And I really felt like it was a very serious company. And for me, I felt good and very, let's say, I felt like I could trust the people and the people that were talking to me and calling me. In this case, it was HR department, different colleagues now.",0.8797,0.03,0.75,0.22,positive
"And they were very helpful. In the pre-onboarding, they would call me because I had a need to apply for a new red-white-red card, a new visa. And so, they were very willing to help me with that.",0.7233,0.0,0.841,0.159,positive
"it was very helpful and always being there if I had any questions or anything. Also, of course, they helped me with some presentations and they sent me some more materials and information regarding the company",0.4754,0.0,0.917,0.083,positive
"""There were some related to the company from the way that how they do business. And of course, also the ecological part that they are very complying with the environmental needs and everything.",0.0,0.0,1.0,0.0,neutral
"So, that part sparked my attention. And it was something that I really appreciated the companies. And I look at when they care about the environment.""",0.7778,0.0,0.764,0.236,positive
"And always, if you need anything, just call us. And we will help you with any document that you need. So, that really was like, let's say, a good start for me.",0.8115,0.0,0.77,0.23,positive
"They showed me several materials that I would need for my job. And how the culture was in the environment, the culture in the team was.",0.0,0.0,1.0,0.0,neutral
"Well, the other company was not so, I would say, not so precise. And they were not very organized. That made me feel a little bit like stressed and not showing trust to the company.",-0.1322,0.127,0.76,0.113,negative
"""And not being organized, being late with the replies, with the phone calls. That made me feel a little bit like I was very, let's say, not so.",0.3008,0.0,0.918,0.082,positive
"I have my doubts for the company, for the previous one. Which I didn't have for the company I'm currently working. Because, as I said, they did every step right.""",-0.296,0.078,0.922,0.0,negative
"I'm thinking now that in my previous job, usually some people did not care how I felt.",-0.3875,0.149,0.851,0.0,negative
I came to the office pretty much to meet my new team leader.,0.4939,0.0,0.775,0.225,positive
"he only showed me around, like where is what and what is what.",0.3612,0.0,0.828,0.172,positive
"If I have like the access for anything or everything that I need for the work, like all the softwares or programs that I need for the work.",0.6124,0.0,0.821,0.179,positive
"it wasn't that much, but it was quite clear. I mean, it was only through email.",0.5913,0.0,0.785,0.215,positive
"basically during this one week gap, like time gap, basically we didn't do much. I only got like two emails, no phone calls, only emails. Okay.",0.5719,0.073,0.698,0.229,positive
"there's like my first impression when they were like invited me directly to the company, like in person to meet my team leader. So my first impression was like, yeah, OK, then they really want me",0.9479,0.0,0.568,0.432,positive
". So I got this impression that they appreciate me and they want me to be there, to be part of their team. That's actually my impression.",0.7851,0.0,0.702,0.298,positive
. I was in communication with the company and people from human resources all the time. They would explain to me how things were and give me the necessary information of my position and also about the company.,0.0,0.0,1.0,0.0,neutral
"before actually starting the on-boarding phase, they had set up an on-boarding buddy for me and he sent me an email with all the explanations about the job, about the project, about what I needed to enhance the skills before actually joining this project",0.0,0.0,1.0,0.0,neutral
"""I think it was very professional. We generally were in contact with emails during this stage, nothing else.",0.0,0.0,1.0,0.0,neutral
"No teams or any other communication tool, but I think it's very professional and everything is documented, so they would just communicate with my personal email until I would get the email from the company.""",-0.1531,0.048,0.952,0.0,negative
"Comparing to previous experiences, it was a higher frequency of communication",0.0,0.0,1.0,0.0,neutral
"I had to wait for a while, so that made me a bit anxious, but when I received the email from my onboarding buddy and I started being in contact with him, the communication was, let's say, at least once per week and that was a pretty good experience comparing to experiences and frequency of communication with the company that I worked before.",0.8248,0.024,0.846,0.13,positive
I think at that time I did not have much any idea how things worked and I was a bit anxious how things worked there and what is expected of me,-0.25,0.071,0.929,0.0,negative
I would say they were pretty supportive for me and they would always respond any questions that I have and since I was also non-EU national,0.6597,0.0,0.795,0.205,positive
", I was in frequent communication via email with the HR person, with the person that actually did the interviews with me and followed up on everything",0.0,0.0,1.0,0.0,neutral
"he invited me to go to the office, to the premises and I could actually see and touch a little bit where the place was and what it looked like, to meet some people there and let them know that I would be the new employee",0.3612,0.0,0.944,0.056,positive
just communicate a bit more,0.0,0.0,1.0,0.0,neutral
it's important that in the end they would just reply to my emails to make me feel sure that things are going okay and we're going on the right direction together,0.6124,0.0,0.824,0.176,positive
