text,compound,negative,neutral,positive,sentiment
"So, it was a mix of feelings of fear and also excitement because I was going to learn new things. And I am currently learning a lot of new things and that's what I actually like.",0.3612,0.087,0.759,0.154,positive
"Well, the company, as I said, has this very nice strategy and the goals for the trainings. So, they have different platforms for trainings and depending on the department they have, it's specific. And they were very clear about this in the beginning.",0.7956,0.0,0.828,0.172,positive
"Well, actually, I talked to HR. They were very… They cared what I was going to say.",0.5994,0.0,0.726,0.274,positive
"if you have something to say, they really listen and try to solve it for you if they can, of course, because there are some things you cannot do anything about it. But for what they have in their hands to do, they actually did it for me and listened.",0.1027,0.0,0.972,0.028,positive
"""I was learning too fast. So, I really felt appreciated because it was like… It's only your third day and you're doing stuff.",0.5916,0.0,0.845,0.155,positive
"So, that really got me… I felt appreciated and I felt good. It got me motivated to even go on with other tasks.""",0.8481,0.0,0.662,0.338,positive
"They were really good in explaining the organizational structure and everything. But in my department, I would have liked to get into more detail on what one is doing so that the other knows as well. It's like communication between the team.",0.8933,0.0,0.76,0.24,positive
"I was being part of the team, like for real, getting things done and being involved. That's very important from the first days of my work. In general, it was good.",0.7574,0.0,0.783,0.217,positive
"When you say certain things and you present certain things in the pre-boarding period, and the onboarding period matching those two, what you say and what you really do, it's very important for me to build trust on anyone, not just the company. If they say something different in my pre-onboarding and it turns out to be different, usually that would lose my trust.",0.8479,0.037,0.788,0.175,positive
", it was quite demanding from the side of my team leader, because it was like too much information at once,",0.079,0.097,0.793,0.11,positive
"everything came at once and it was quite demanding in a way that, in a sense that quite stressful, in my opinion.",-0.699,0.243,0.757,0.0,negative
"The thing that probably affected the trust quite badly for me, it was the amount of workload, actually.",-0.1761,0.214,0.644,0.142,negative
"Then my trust was a bit shaky, actually, a little bit. Because all of these many things, I understand why I had to stay longer. Because as I say, that's actually the result of so much information at once.",0.34,0.051,0.86,0.089,positive
to recalculate the workload that an employee has.,0.0,0.0,1.0,0.0,neutral
"sometimes it's quite too much and someone can get very overwhelmed. So probably a better calculation for the workload, actually",0.5678,0.0,0.784,0.216,positive
